id;aspect;description;dimension;index_letter;index_letter_crib;reserve1;reserve2;reserve3
1;time;Model time;1;t;time;;;
2;age-cohort;age-cohorts;1;c;cohort;;;
3;element;chemical elements;2;e;element;;;
4;unity;trivial classification, 1 entry only;3;1;1 (unity);;;
5;region;Region of process or stock;4;r;region;;;
6;origin_region;Region of origin (flow);4;O;origin;;;
7;destination_region;region of destination (flow);4;D;destination;;;
8;process;Process where stock is located;7;p;process;;;
9;origin_process;Process of origin of flow;7;o;origin;;;
10;destination_process;Process of destination of flow;7;d;destination;;;
11;commodity;Goods and products considered;6;g;good;;;
12;engineering_material;Engineering materials considered, subset of generic materials M;5;m;material;;;
13;EoL_good;End-of-life products, buildings, and infrastructure;6;l;end-of-Life product;;;
14;waste_scrap;waste and scrap types considered;5;w;waste/scrap;;;
15;energy_carrier;Energy carrier;8;n;nergy (energy);;;
16;scenario;Scenerios considered (e.g., SSP);9;S;Scenario;;;
17;extension;Costs, emissions factors, social impacts;10;X;Xtension;;;
18;service;Service categories: shelter, transport, etc.;11;V;SerVice;;;
19;product_type;Types of products;6;Y;TYpe;;;
20;input_material;Input of material to process;5;b;none;;;
21;input_commodity;Input of commodity to process;6;B;none;;;
22;output_material;Output of material to process;5;f;none;;;
23;output_commodity;Output of commodity to process;6;F;none;;;
24;technology;technology of product or commodity;6;T;Technology;;;
25;substituting_material;material that is substituting another one;5;s;substituting ?;;;
26;material;generic material, used in MFA and LCA to denote goods and substances;5;M;Material;;;
27;material_group;categories of materials, such as 'reference product', 'resource, in ground', 'waste produced', used in LCI;5;G;material Group;;;
28;material_category;broad material groups 'product', 'waste', and 'elementary', used in LCI;5;C;material Category;;;
29;layer;layer of qantification: mass, volume, energy, radioactivity, monetary, ?;12;L;Layer;;;
30;city;City where process or stock is located, flows start or end;4;y;Cit_y;;;
